test_id,org.jfree.data.time.TimeSeries:1001,org.jfree.data.time.TimeSeries:1010,org.jfree.data.time.TimeSeries:1011,org.jfree.data.time.TimeSeries:1013,org.jfree.data.time.TimeSeries:1014,org.jfree.data.time.TimeSeries:1015,org.jfree.data.time.TimeSeries:1018,org.jfree.data.time.TimeSeries:1019,org.jfree.data.time.TimeSeries:1020,org.jfree.data.time.TimeSeries:1021,org.jfree.data.time.TimeSeries:1023,org.jfree.data.time.TimeSeries:1024,org.jfree.data.time.TimeSeries:1025,org.jfree.data.time.TimeSeries:1027,org.jfree.data.time.TimeSeries:1028,org.jfree.data.time.TimeSeries:1029,org.jfree.data.time.TimeSeries:1031,org.jfree.data.time.TimeSeries:1032,org.jfree.data.time.TimeSeries:1033,org.jfree.data.time.TimeSeries:140,org.jfree.data.time.TimeSeries:142,org.jfree.data.time.TimeSeries:153,org.jfree.data.time.TimeSeries:155,org.jfree.data.time.TimeSeries:172,org.jfree.data.time.TimeSeries:173,org.jfree.data.time.TimeSeries:174,org.jfree.data.time.TimeSeries:175,org.jfree.data.time.TimeSeries:176,org.jfree.data.time.TimeSeries:177,org.jfree.data.time.TimeSeries:178,org.jfree.data.time.TimeSeries:179,org.jfree.data.time.TimeSeries:189,org.jfree.data.time.TimeSeries:215,org.jfree.data.time.TimeSeries:238,org.jfree.data.time.TimeSeries:260,org.jfree.data.time.TimeSeries:275,org.jfree.data.time.TimeSeries:278,org.jfree.data.time.TimeSeries:279,org.jfree.data.time.TimeSeries:280,org.jfree.data.time.TimeSeries:281,org.jfree.data.time.TimeSeries:283,org.jfree.data.time.TimeSeries:293,org.jfree.data.time.TimeSeries:309,org.jfree.data.time.TimeSeries:312,org.jfree.data.time.TimeSeries:313,org.jfree.data.time.TimeSeries:314,org.jfree.data.time.TimeSeries:326,org.jfree.data.time.TimeSeries:339,org.jfree.data.time.TimeSeries:353,org.jfree.data.time.TimeSeries:354,org.jfree.data.time.TimeSeries:358,org.jfree.data.time.TimeSeries:370,org.jfree.data.time.TimeSeries:428,org.jfree.data.time.TimeSeries:429,org.jfree.data.time.TimeSeries:431,org.jfree.data.time.TimeSeries:433,org.jfree.data.time.TimeSeries:444,org.jfree.data.time.TimeSeries:457,org.jfree.data.time.TimeSeries:458,org.jfree.data.time.TimeSeries:459,org.jfree.data.time.TimeSeries:462,org.jfree.data.time.TimeSeries:476,org.jfree.data.time.TimeSeries:477,org.jfree.data.time.TimeSeries:489,org.jfree.data.time.TimeSeries:492,org.jfree.data.time.TimeSeries:504,org.jfree.data.time.TimeSeries:505,org.jfree.data.time.TimeSeries:506,org.jfree.data.time.TimeSeries:507,org.jfree.data.time.TimeSeries:508,org.jfree.data.time.TimeSeries:511,org.jfree.data.time.TimeSeries:512,org.jfree.data.time.TimeSeries:513,org.jfree.data.time.TimeSeries:514,org.jfree.data.time.TimeSeries:517,org.jfree.data.time.TimeSeries:518,org.jfree.data.time.TimeSeries:519,org.jfree.data.time.TimeSeries:520,org.jfree.data.time.TimeSeries:534,org.jfree.data.time.TimeSeries:536,org.jfree.data.time.TimeSeries:540,org.jfree.data.time.TimeSeries:543,org.jfree.data.time.TimeSeries:544,org.jfree.data.time.TimeSeries:548,org.jfree.data.time.TimeSeries:559,org.jfree.data.time.TimeSeries:560,org.jfree.data.time.TimeSeries:572,org.jfree.data.time.TimeSeries:573,org.jfree.data.time.TimeSeries:574,org.jfree.data.time.TimeSeries:586,org.jfree.data.time.TimeSeries:587,org.jfree.data.time.TimeSeries:600,org.jfree.data.time.TimeSeries:601,org.jfree.data.time.TimeSeries:602,org.jfree.data.time.TimeSeries:612,org.jfree.data.time.TimeSeries:613,org.jfree.data.time.TimeSeries:614,org.jfree.data.time.TimeSeries:615,org.jfree.data.time.TimeSeries:616,org.jfree.data.time.TimeSeries:617,org.jfree.data.time.TimeSeries:618,org.jfree.data.time.TimeSeries:625,org.jfree.data.time.TimeSeries:648,org.jfree.data.time.TimeSeries:649,org.jfree.data.time.TimeSeries:650,org.jfree.data.time.TimeSeries:651,org.jfree.data.time.TimeSeries:652,org.jfree.data.time.TimeSeries:653,org.jfree.data.time.TimeSeries:654,org.jfree.data.time.TimeSeries:655,org.jfree.data.time.TimeSeries:658,org.jfree.data.time.TimeSeries:675,org.jfree.data.time.TimeSeries:693,org.jfree.data.time.TimeSeries:696,org.jfree.data.time.TimeSeries:698,org.jfree.data.time.TimeSeries:699,org.jfree.data.time.TimeSeries:700,org.jfree.data.time.TimeSeries:701,org.jfree.data.time.TimeSeries:702,org.jfree.data.time.TimeSeries:703,org.jfree.data.time.TimeSeries:704,org.jfree.data.time.TimeSeries:705,org.jfree.data.time.TimeSeries:708,org.jfree.data.time.TimeSeries:709,org.jfree.data.time.TimeSeries:711,org.jfree.data.time.TimeSeries:714,org.jfree.data.time.TimeSeries:715,org.jfree.data.time.TimeSeries:718,org.jfree.data.time.TimeSeries:721,org.jfree.data.time.TimeSeries:723,org.jfree.data.time.TimeSeries:738,org.jfree.data.time.TimeSeries:739,org.jfree.data.time.TimeSeries:740,org.jfree.data.time.TimeSeries:741,org.jfree.data.time.TimeSeries:743,org.jfree.data.time.TimeSeries:744,org.jfree.data.time.TimeSeries:746,org.jfree.data.time.TimeSeries:747,org.jfree.data.time.TimeSeries:750,org.jfree.data.time.TimeSeries:765,org.jfree.data.time.TimeSeries:767,org.jfree.data.time.TimeSeries:770,org.jfree.data.time.TimeSeries:772,org.jfree.data.time.TimeSeries:773,org.jfree.data.time.TimeSeries:783,org.jfree.data.time.TimeSeries:787,org.jfree.data.time.TimeSeries:788,org.jfree.data.time.TimeSeries:789,org.jfree.data.time.TimeSeries:790,org.jfree.data.time.TimeSeries:791,org.jfree.data.time.TimeSeries:793,org.jfree.data.time.TimeSeries:794,org.jfree.data.time.TimeSeries:796,org.jfree.data.time.TimeSeries:818,org.jfree.data.time.TimeSeries:819,org.jfree.data.time.TimeSeries:820,org.jfree.data.time.TimeSeries:821,org.jfree.data.time.TimeSeries:823,org.jfree.data.time.TimeSeries:832,org.jfree.data.time.TimeSeries:835,org.jfree.data.time.TimeSeries:836,org.jfree.data.time.TimeSeries:838,org.jfree.data.time.TimeSeries:839,org.jfree.data.time.TimeSeries:857,org.jfree.data.time.TimeSeries:858,org.jfree.data.time.TimeSeries:876,org.jfree.data.time.TimeSeries:877,org.jfree.data.time.TimeSeries:879,org.jfree.data.time.TimeSeries:880,org.jfree.data.time.TimeSeries:882,org.jfree.data.time.TimeSeries:884,org.jfree.data.time.TimeSeries:885,org.jfree.data.time.TimeSeries:886,org.jfree.data.time.TimeSeries:887,org.jfree.data.time.TimeSeries:888,org.jfree.data.time.TimeSeries:889,org.jfree.data.time.TimeSeries:891,org.jfree.data.time.TimeSeries:895,org.jfree.data.time.TimeSeries:898,org.jfree.data.time.TimeSeries:916,org.jfree.data.time.TimeSeries:919,org.jfree.data.time.TimeSeries:922,org.jfree.data.time.TimeSeries:926,org.jfree.data.time.TimeSeries:927,org.jfree.data.time.TimeSeries:928,org.jfree.data.time.TimeSeries:929,org.jfree.data.time.TimeSeries:930,org.jfree.data.time.TimeSeries:931,org.jfree.data.time.TimeSeries:934,org.jfree.data.time.TimeSeries:935,org.jfree.data.time.TimeSeries:936,org.jfree.data.time.TimeSeries:937,org.jfree.data.time.TimeSeries:939,org.jfree.data.time.TimeSeries:940,org.jfree.data.time.TimeSeries:942,org.jfree.data.time.TimeSeries:943,org.jfree.data.time.TimeSeries:944,org.jfree.data.time.TimeSeries:945,org.jfree.data.time.TimeSeries:948,org.jfree.data.time.TimeSeries:961,org.jfree.data.time.TimeSeries:962,org.jfree.data.time.TimeSeries:964,org.jfree.data.time.TimeSeries:965,org.jfree.data.time.TimeSeries:967,org.jfree.data.time.TimeSeries:968,org.jfree.data.time.TimeSeries:969,org.jfree.data.time.TimeSeries:974,org.jfree.data.time.TimeSeries:975,org.jfree.data.time.TimeSeries:980,org.jfree.data.time.TimeSeries:984,org.jfree.data.time.TimeSeries:985,org.jfree.data.time.TimeSeries:988,org.jfree.data.time.TimeSeries:989,org.jfree.data.time.TimeSeries:992,org.jfree.data.time.TimeSeries:993,org.jfree.data.time.TimeSeries:994,org.jfree.data.time.TimeSeries:996,org.jfree.data.time.TimeSeries:997,org.jfree.data.time.TimeSeries:998
org.jfree.chart.annotations.junit.CategoryLineAnnotationTests::testCloning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryLineAnnotationTests::testEquals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryLineAnnotationTests::testHashcode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryLineAnnotationTests::testSerialization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryPointerAnnotationTests::testCloning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryPointerAnnotationTests::testEquals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryPointerAnnotationTests::testHashCode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryPointerAnnotationTests::testSerialization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryTextAnnotationTests::testCloning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jfree.chart.annotations.junit.CategoryTextAnnotationTests::testEquals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
