test_id,org.apache.commons.lang3.text.translate.CharSequenceTranslator:108,org.apache.commons.lang3.text.translate.CharSequenceTranslator:109,org.apache.commons.lang3.text.translate.CharSequenceTranslator:110,org.apache.commons.lang3.text.translate.CharSequenceTranslator:111,org.apache.commons.lang3.text.translate.CharSequenceTranslator:122,org.apache.commons.lang3.text.translate.CharSequenceTranslator:32,org.apache.commons.lang3.text.translate.CharSequenceTranslator:54,org.apache.commons.lang3.text.translate.CharSequenceTranslator:55,org.apache.commons.lang3.text.translate.CharSequenceTranslator:58,org.apache.commons.lang3.text.translate.CharSequenceTranslator:59,org.apache.commons.lang3.text.translate.CharSequenceTranslator:60,org.apache.commons.lang3.text.translate.CharSequenceTranslator:76,org.apache.commons.lang3.text.translate.CharSequenceTranslator:77,org.apache.commons.lang3.text.translate.CharSequenceTranslator:79,org.apache.commons.lang3.text.translate.CharSequenceTranslator:80,org.apache.commons.lang3.text.translate.CharSequenceTranslator:82,org.apache.commons.lang3.text.translate.CharSequenceTranslator:83,org.apache.commons.lang3.text.translate.CharSequenceTranslator:84,org.apache.commons.lang3.text.translate.CharSequenceTranslator:85,org.apache.commons.lang3.text.translate.CharSequenceTranslator:86,org.apache.commons.lang3.text.translate.CharSequenceTranslator:87,org.apache.commons.lang3.text.translate.CharSequenceTranslator:88,org.apache.commons.lang3.text.translate.CharSequenceTranslator:89,org.apache.commons.lang3.text.translate.CharSequenceTranslator:90,org.apache.commons.lang3.text.translate.CharSequenceTranslator:94,org.apache.commons.lang3.text.translate.CharSequenceTranslator:95,org.apache.commons.lang3.text.translate.CharSequenceTranslator:97,org.apache.commons.lang3.text.translate.CharSequenceTranslator:98
org.apache.commons.lang3.AnnotationUtilsTest::testAnnotationsOfDifferingTypes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testBothArgsNull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testEquivalence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testGeneratedAnnotationEquivalentToRealAnnotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testHashCode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testIsValidAnnotationMemberType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testNonEquivalentAnnotationsOfSameType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testOneArgNull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testSameInstance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.AnnotationUtilsTest::testToString,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayBoolean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayByte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayChar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayDouble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayFloat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayInt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayLong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayObject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayShort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.lang3.ArrayUtilsAddTest::testAddObjectArrayToObjectArray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
